Region,Subregion,Stock,Group,Name,EnglishName,ScientificName,Source,MinOfYear,MaxOfYear,StartYear,EndYear,Flim,Fpa,Blim,Bpa,Bmsy,FMSY,MSY,MSYBtrigger,B40,M,Fofl,last_F,Resilience,r.low,r.hi,stb.low,stb.hi,int.yr,intb.low,intb.hi,endb.low,endb.hi,q.start,q.end,btype,force.cmsy,Comment,,
Mediterranean,Aegean Sea,LOPHBUD_AL,Benthic fish & inv.,Blackbellied angler in Aegean Sea,Blackbellied angler,Lophius budegassa,,1970,2014,1982,2014,,,,,,,,,,,,,Low,0.2,0.54,0.2,0.6,1995,0.2,0.6,0.01,0.4,1994,2014,CPUE,F,"Catch=landings from FishStat (Greece), Biomass estimates standardized relative to max value",,
Mediterranean,Aegean Sea,MERLMER_AL,Large predators,Hake in Aegean Sea,European hake,Merluccius merluccius,excel,1970,2014,1980,2014,,,,,,0.24,,,,,,0.83,Medium,0.22,0.95,0.01,0.4,2000,0.01,0.4,0.01,0.4,1994,2014,CPUE,T,"Catch=landings from FishStat (Greece), Biomass estimates standardized relative to max value",OK,
Mediterranean,Aegean Sea,MICMPOU_AL,Large predators,Blue whiting in Aegean Sea,Blue whiting,Micromesistius poutassou,,1970,2014,1985,2014,,,,,,,,,,,,,Medium,0.21,1.09,0.2,0.6,1996,0.01,0.3,0.01,0.3,1994,2014,CPUE,F,"Catch=landings from FishStat (Greece), Biomass estimates standardized relative to max value.  RF final 0.3",OK,
Mediterranean,Aegean Sea,MULLBAR_AL,Benthic fish & inv.,Red mullet in Aegean Sea,Red mullet,Mullus barbatus,excel,1970,2014,1985,2014,,,,,,0.52,,,,,,0.56,Medium,0.22,1.25,0.01,0.4,1995,0.01,0.4,0.01,0.3,1994,2014,CPUE,F,"Catch=landings from FishStat (Greece+Turkey), Biomass estimates standardized relative to max value.  RF OK 04.10.16",,
Mediterranean,Aegean Sea,MULLSUR_AL,Benthic fish & inv.,Surmulet in Aegean Sea,Surmulet,Mullus surmuletus,,1970,2014,1985,2014,,,,,,,,,,,,,Medium,0.46,1.58,0.2,0.6,1995,0.01,0.4,0.01,0.3,1994,2014,CPUE,F,"Catch=landings from FishStat (Greece+Turkey), Biomass estimates standardized relative to max value.  RF final 0.3",,
Mediterranean,Aegean Sea,NEPRNOR_AL,Benthic fish & inv.,Norway lobster in Aegean Sea,Norway lobster,Nephrops norvegicus,excel,1970,2014,1970,2014,,,,,,0.12,,,,,,0.32,Medium,NA,NA,0.2,0.6,2000,0.01,0.4,0.01,0.3,1994,2014,CPUE,F,"Catch=landings from FishStat (Greece), Biomass estimates standardized relative to max value",,
Mediterranean,Aegean Sea,OBLAMEL_AL,Benthic fish & inv.,Saddled seabream in Aegean Sea,Saddled seabream,Oblada melanura,,1982,2014,1982,2014,,,,,,,,,,,,,Medium,0.68,0.88,0.5,0.9,2000,0.2,0.6,0.2,0.6,NA,NA,None,F,Catch=landings from FishStat (Greece),,
Mediterranean,Aegean Sea,OCTOVUL_AL,Benthic fish & inv.,Common octopus in Aegean Sea,Common octopus,Octopus vulgaris,,1970,2014,1990,2014,,,,,,,,,,,,,Medium,0.4,1,0.01,0.4,1995,0.01,0.4,0.01,0.4,1994,2014,CPUE,F,"Catch=landings from FishStat (Greece+Turkey), Biomass estimates standardized relative to max value",,
Mediterranean,Aegean Sea,PAGEERY_AL,Benthic fish & inv.,Common pandora in Aegean Sea,Common pandora,Pagellus erythrinus,,1970,2014,1970,2014,,,,,,,,,,,,,Medium,0.22,0.97,0.2,0.6,2000,0.01,0.4,0.01,0.4,1994,2014,CPUE,F,"Catch=landings from FishStat (Greece), Biomass estimates standardized relative to max value",,
Mediterranean,Aegean Sea,PAGRPAG_AL,Benthic fish & inv.,Red porgy in Aegean Sea,Red porgy,Pagrus pagrus,,1970,2014,1985,2014,,,,,,,,,,,,,Medium,0.27,0.86,0.2,0.6,2000,0.01,0.4,0.01,0.4,NA,NA,None,F,Catch=landings from FishStat (Greece+Turkey),,
Mediterranean,Aegean Sea,PALIELE_AL,Benthic fish & inv.,Common spiny lobster in Aegean Sea,Common spiny lobster,Palinurus elephas,,1982,2014,1982,2014,,,,,,,,,,,,,Low,NA,NA,0.5,0.9,2000,0.1,0.5,0.1,0.5,NA,NA,None,F,"Catch=landings from FishStat (Greece). RF int 0.1-0.5, final 0.1-0.5",,
Mediterranean,Aegean Sea,PARELON_AL,Benthic fish & inv.,Pink shrimp in Aegean Sea,Pink shrimp,Parapeneaus longirostris,,1970,2014,1970,2014,,,,,,,,,,,,,High,NA,NA,0.5,0.9,2000,0.01,0.4,0.01,0.3,1994,2014,CPUE,F,"Catch=landings from FishStat (Greece), Biomass estimates standardized relative to max value. RF int 2000 0.01-0.4, final 0.01",0.3,
Mediterranean,Aegean Sea,PENAKER_AL,Benthic fish & inv.,Caramote prawn in Aegean Sea,Caramote prawn,Peneaus kerathurus,,1970,2014,1982,2014,,,,,,,,,,,,,Medium,NA,NA,0.5,0.9,NA,NA,NA,0.1,0.5,NA,NA,None,F,Catch=landings from FishStat (Greece). RF 0.1-0.5,,
Mediterranean,Aegean Sea,POMTSAL_AL,Large predators,Bluefish in Aegean Sea,Bluefish,Pomatomus saltatrix,,1982,2014,1982,2014,,,,,,,,,,,,,Medium,0.37,0.9,0.5,0.9,NA,NA,NA,NA,NA,NA,NA,None,F,Catch=landings from FishStat (Greece),,
Mediterranean,Aegean Sea,PSETMAX_AL,Benthic fish & inv.,Turbot in Aegean Sea,Turbot,Scophthalmus maximus,,1982,2014,1982,2014,,,,,,,,,,,,,Medium,0.25,0.82,0.5,0.9,1997,0.01,0.4,0.01,0.4,NA,NA,None,F,"Catch=landings from FishStat (Greece). RF int 1997 0.01-0.4, final 0.01-0.4",,
Mediterranean,Aegean Sea,RAJACLA_AL,Benthic fish & inv.,Thornback ray in Aegean Sea,Thornback ray,Raja clavata,,1970,2014,1982,2014,,,,,,,,,,,,,Low,0.02,0.9,0.2,0.6,1995,0.2,0.6,0.01,0.4,1994,2014,CPUE,F,"Catch=landings from FishStat (Greece+Turkey), Biomass estimates standardized relative to max value. RF final 0.01-0.4",,
Mediterranean,Aegean Sea,SARDPIL_AL,Plankton feeders,Sardine in Aegean Sea,European pilchard,Sardina pilchardus,,1970,2014,1980,2014,,,,,,,,,,,,,Medium,0.27,1.1,0.2,0.6,2000,0.2,0.6,0.01,0.4,2000,2013,CPUE,F,"Catch=landings from FishStat (Greece+Turkey), Biomass estimates standardized relative to max value. RF OK 04.10.16",,
