"Region","Subregion","Stock","Group","Name","EnglishName","ScientificName","Source","MinOfYear","MaxOfYear","StartYear","EndYear","Flim","Fpa","Blim","Bpa","Bmsy","FMSY","MSY","MSYBtrigger","B40","M","Fofl","last_F","Resilience","r.low","r.hi","stb.low","stb.hi","int.yr","intb.low","intb.hi","endb.low","endb.hi","q.start","q.end","e.creep","btype","force.cmsy","Comment"
"Northeast Atlantic","Norwegian Sea","her-noss","Plankton feeders","Norwegian spring-spawning herring","Atlantic herring","Clupea harengus","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/her-noss.pdf",1988,2014,1988,2014,,0.15,2500000,5000000,,0.15,,5000000,,,,0.11,"Medium",0.3,0.68,0.15,0.4,"NA","NA","NA","NA","NA","NA","NA","NA","CPUE","F",
"Northeast Atlantic","Baltic Sea","her-riga","Plankton feeders","Herring in the Gulf of Riga","Atlantic herring","Clupea harengus","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/her-riga.pdf",1977,2015,1977,2015,0.88,0.63,40800,57100,,0.32,,60000,,,,0.42,"Medium",0.3,0.68,0.15,0.4,1990,0.2,0.6,"NA","NA",2007,2012,"NA","CPUE","F",
"Northeast Atlantic","Iceland Sea","her-vasu","Plankton feeders","Herring in Division Va (Iceland grounds) (summer-spawning herring)","Atlantic herring","Clupea harengus","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/her-vasu.pdf",1987,2015,1987,2015,0.61,0.45,200000,273000,,0.22,,273000,,,,0.22,"Medium",0.3,0.68,0.15,0.4,2007,0.5,0.9,"NA","NA",1998,2002,"NA","CPUE","F",
"Northeast Atlantic","Bay of Biscay and Iberian coast","hke-soth","Large predators","Hake in Divisions VIIIc and IXa (Southern stock) (Cantabrian Sea, Atlantic Iberian waters)","European hake","Merluccius merluccius","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/hke-soth.pdf",1982,2015,1982,2015,1.05,0.75,8000,11100,,0.25,,11100,,,,0.52,"Medium",0.35,0.8,0.75,1,2005,0.01,0.4,0.35,0.65,2000,2005,"NA","CPUE","F",
"Northeast Atlantic","Bay of Biscay and Iberian coast","hom-soth","Plankton feeders","Horse mackerel in Division IXa (Atlantic Iberian Waters)","Atlantic horse mackerel","Trachurus trachurus","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/hom-soth.pdf",1992,2015,1992,2015,0.19,0.11,103,181,,0.11,,181,,,,0.04,"Medium",0.32,0.73,0.15,0.4,2007,0.2,0.6,0.5,0.85,"NA","NA","NA","CPUE","F",
"Northeast Atlantic","Wide ranging","hom-west","Plankton feeders","Horse mackerel in Subarea VIII and Divisions IIa, IVa, Vb, VIa, and VIIa–c, e–k","Atlantic horse mackerel","Trachurus trachurus","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/hom-west.pdf",1982,2014,1985,2014,,,,,,,,,,,,,"Medium",0.32,0.73,0.75,1,"NA","NA","NA","NA","NA","NA","NA","NA","CPUE","F",
"Mediterranean","Adriatic Sea","Ille_coi_AD","Benthic fish & inv.","Shortfin squid in Adriatic Sea","Shortfin squid","Illex coindettii",,1970,2014,1995,2013,,,,,,,,,,,,,"Medium",0.34,0.78,0.01,0.2,"NA","NA","NA",0.01,0.3,2008,2013,2,"CPUE","F",
"Northeast Atlantic","Bay of Biscay and Iberian coast","jaa-10","Plankton feeders","Blue jack mackerel (Trachurus picturatus) in Subdivision Xa2 (Azores)","Blue jack mackerel","Trachurus picturatus","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/jaa-10.pdf",1980,2015,1980,2015,,,,,,,,,,,,,"Medium",0.32,0.73,0.35,0.65,2001,0.01,0.4,"NA","NA","NA","NA","NA","CPUE","F",
"Northeast Atlantic","Barents Sea","lin-arct","Benthic fish & inv.","Ling in Subareas I and II (Northeast Arctic)","Ling","Molva molva","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/lin-arct.pdf",1988,2014,2000,2014,,,,,,,,,,,,,"Medium",0.34,0.77,0.15,0.4,2006,0.35,0.65,0.5,0.85,2000,2004,"NA","CPUE","F",
"Northeast Atlantic","Faroes","lin-faro","Benthic fish & inv.","Ling in Division Vb (Faroes Grounds)","Ling","Molva molva","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/lin-faro.pdf",1988,2014,1996,2014,,,,,,,,,,,,,"Medium",0.34,0.77,0.35,0.65,2004,0.2,0.6,0.75,1,2005,2009,"NA","CPUE","F",
"Northeast Atlantic","Iceland Sea","lin-icel","Benthic fish & inv.","Ling in Division 5.a (Iceland grounds)","Ling","Molva molva","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/lin-icel.pdf",1982,2015,1982,2015,,,8600,9500,,0.24,,9500,,,,0.28,"Medium",0.34,0.77,0.01,0.2,2005,0.01,0.4,0.5,0.85,1997,2002,"NA","CPUE","F",
"Northeast Atlantic","Wide ranging","lin-oth","Benthic fish & inv.","Ling in Subareas VI-IX, XII, and XIV, and in Divisions IIIa and IVa (other areas)","Ling","Molva molva","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/lin-oth.pdf",1988,2014,2000,2014,,,,,,,,,,,,,"Medium",0.34,0.77,0.15,0.4,2003,0.01,0.4,0.5,0.85,2004,2008,"NA","CPUE","F",
"Northeast Atlantic","Wide ranging","mac-nea","Plankton feeders","Mackerel (combined Southern, Western & N.Sea spawn.comp.)","Atlantic mackerel ","Scomber scombrus","www.ices.dk",1980,2014,1980,2014,0.42,0.23,1670000,2300000,,0.22,,2200000,,,,0.34,"Medium",0.31,0.75,0.5,0.85,2000,0.01,0.4,0.5,0.85,2000,2005,"NA","CPUE","F",
"Mediterranean","Adriatic Sea","Merl_mer_AD","Large predators","Hake in Adriatic Sea","European hake","Merluccius merluccius","STECF 16-08",1970,2014,1996,2013,,,2569,,,0.16,,,,,,0.89,"Medium",0.35,0.8,0.15,0.4,1997,0.01,0.3,0.01,0.3,2004,2013,2,"CPUE","F",
"Mediterranean","Ionian Sea","MERLMER_IS","Large predators","Hake in Ionian Sea","European hake","Merluccius merluccius","STECF 16-08, M from Colloca et al 2013",1970,2014,1994,2014,,,452,,,0.18,,,,0.27,,0.87,"Medium",0.35,0.8,0.15,0.4,"NA","NA","NA",0.01,0.3,1994,2014,,"CPUE","F",
