"Ready?","Region","Subregion","Stock","Group","Name","EnglishName","ScientificName","Source","MinOfYear","MaxOfYear","StartYear","EndYear","Flim","Fpa","Blim","Bpa","Bmsy","FMSY","MSY","MSYBtrigger","B40","M","Fofl","last_F","Resilience","r.low","r.hi","stb.low","stb.hi","int.yr","intb.low","intb.hi","endb.low","endb.hi","q.start","q.end","btype","force.cmsy","Comment"
,"GFCM, ICCAT","Mediterranean","Sard_sar_Med","Medium pelagics (30 - 89 cm)","Atlantic bonito in the Mediterranean","Atlantic bonito","Sarda sarda",,1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.84,1.3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","!!! Straddling stock. Limited resilience to 1.3."
,"ICCAT;FAO 31","Western Central Atlantic Ocean","Sard_sar_WesternCentralAtlantic","Medium pelagics (30 - 89 cm)","Atlantic bonito in Western Central Atlantic Ocean","Atlantic bonito","Sarda sarda","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.84,3.11,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","Combined catch from FAO area 31"
,"NEAFC;NASCO;ICCAT","Azores Canaries Madeira and Saharan Upwelling","Sco_col_ACMandSaharanUpwelling","Medium pelagics (30 - 89 cm)","Atlantic chub mackerel in Azores Canaries Madeira and Saharan Upwelling","Atlantic chub mackerel","Scomber colias","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.2,0.8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","!!! Straddling stock"
,"ICCAT","Northern and Southern Gulf of Mexico","Scom_cav_GulfofMexico","Large reef assoc. fish (>=90 cm)","King mackerel in Gulf of Mexico","King mackerel","Scomberomorus cavalla","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Low",0.23,0.94,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","Combined catch from ME Northern Gulf of Mexico and Southern Gulf of Mexico"
"Y","IOTC","Indian Ocean","Scom_com_IndianOcean","Large pelagics (>=90 cm)","Narrowbarred Spanish mackerel in Indian Ocean","Narrowbarred Spanish mackerel","Scomberomorus commerson","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.27,1.09,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","NA"
,"GFCM;ICCAT","Mediterranean","Scom_com_Med","Large pelagics (>=90 cm)","Narrowbarred Spanish mackerel in the Mediterranean","Narrowbarred Spanish mackerel","Scomberomorus commerson",,1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.27,1.09,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","!!! Straddling stock"
"Y","WCPFC;CCSBT","Western Pacific Ocean","Scom_com_WesternPacificOcean","Large pelagics (>=90 cm)","Narrowbarred Spanish mackerel in WesternPacificOcean","Narrowbarred Spanish mackerel","Scomberomorus commerson","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.27,1.09,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F",
"Y","IOTC","Indian Ocean","Scom_gut_IndianOcean","Medium pelagics (30 - 89 cm)","Indo-Pacific king mackerel in Indian Ocean","Indo-Pacific king mackerel","Scomberomorus guttatus","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.2,0.8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","NA"
,"ICCAT","Northern and Southern Gulf of Mexico","Scom_mac_GulfofMexico","Medium pelagics (30 - 89 cm)","Atlantic Spanish mackerel in Gulf of Mexico","Atlantic Spanish mackerel","Scomberomorus maculatus","NA",1954,2014,1954,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.3,1.03,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F",
"Y","GFCM, ICCAT","Mediterranean","Scom_sco_Med","Medium pelagics (30 - 89 cm)","Atlantic mackerel in Mediterranean","Atlantic mackerel","Scomber scombrus",,1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium","NA","NA",0.5,0.9,1994,0.1,0.5,"NA","NA",1994,2007,"CPUE","F","Set starting biomass to higher and found more viable r-k pairs.  CPUE used SCOMSCO_BA"
